DATE,TICKER,RET,vwretd
8/31/12,JNJ,-0.017047,0.026317
9/28/12,JNJ,0.021949,0.026513
10/31/12,JNJ,0.027717,-0.014055
11/30/12,JNJ,-0.006778,0.006217
12/31/12,JNJ,0.005306,0.012569
1/31/13,JNJ,0.054494,0.054142
2/28/13,JNJ,0.037879,0.008282
3/28/13,JNJ,0.071213,0.035295
4/30/13,JNJ,0.045382,0.014939
5/31/13,JNJ,-0.004576,0.019128
6/28/13,JNJ,0.019957,-0.015072
7/31/13,JNJ,0.088982,0.052658
8/30/13,JNJ,-0.06877,-0.02575
9/30/13,JNJ,0.00324,0.037497
10/31/13,JNJ,0.068289,0.039889
11/29/13,JNJ,0.029263,0.024956
12/31/13,JNJ,-0.032432,0.02614
1/31/14,JNJ,-0.034065,-0.03002
2/28/14,JNJ,0.048717,0.046198
3/31/14,JNJ,0.066327,0.00454
4/30/14,JNJ,0.031151,0.001573
5/30/14,JNJ,0.008589,0.020254
6/30/14,JNJ,0.031145,0.027973
7/31/14,JNJ,-0.0433,-0.020555
8/29/14,JNJ,0.043361,0.040205
9/30/14,JNJ,0.027572,-0.025196
10/31/14,JNJ,0.011164,0.021164
11/28/14,JNJ,0.010855,0.021104
12/31/14,JNJ,-0.033995,-0.003659
1/30/15,JNJ,-0.042364,-0.027163
2/27/15,JNJ,0.030657,0.055915
3/31/15,JNJ,-0.018632,-0.010397
4/30/15,JNJ,-0.013917,0.008766
5/29/15,JNJ,0.017036,0.010277
6/30/15,JNJ,-0.026763,-0.019231
7/31/15,JNJ,0.028217,0.012108
8/31/15,JNJ,-0.054685,-0.059926
9/30/15,JNJ,-0.006704,-0.033756
10/30/15,JNJ,0.082271,0.073937
11/30/15,JNJ,0.009502,0.002404
12/31/15,JNJ,0.014619,-0.022209
1/29/16,JNJ,0.016745,-0.057085
2/29/16,JNJ,0.014554,0.00062
3/31/16,JNJ,0.028419,0.070491
4/29/16,JNJ,0.03586,0.011718
5/31/16,JNJ,0.01258,0.01434
6/30/16,JNJ,0.076404,0.002947
7/29/16,JNJ,0.032399,0.038815
8/31/16,JNJ,-0.040645,0.0028
9/30/16,JNJ,-0.010139,0.003013
10/31/16,JNJ,-0.018116,-0.021544
11/30/16,JNJ,-0.033537,0.040488
12/30/16,JNJ,0.03513,0.018763
1/31/17,JNJ,-0.017012,0.022153
2/28/17,JNJ,0.086181,0.032598
3/31/17,JNJ,0.019147,0.002062
4/28/17,JNJ,-0.008671,0.009655
5/31/17,JNJ,0.045517,0.009335
6/30/17,JNJ,0.031501,0.009571
7/31/17,JNJ,0.00325,0.020277
8/31/17,JNJ,0.003692,0.0016
9/29/17,JNJ,-0.017829,0.023729
10/31/17,JNJ,0.072302,0.019275
11/30/17,JNJ,0.005452,0.027231
12/29/17,JNJ,0.002799,0.012122
1/31/18,JNJ,-0.01095,0.050577
2/28/18,JNJ,-0.054056,-0.039455
3/29/18,JNJ,-0.01332,-0.018421
4/30/18,JNJ,-0.012954,0.004679
5/31/18,JNJ,-0.047197,0.026146
6/29/18,JNJ,0.014379,0.005359
7/31/18,JNJ,0.092138,0.031573
8/31/18,JNJ,0.023166,0.030233
9/28/18,JNJ,0.025837,0.000425
10/31/18,JNJ,0.013172,-0.074045
11/30/18,JNJ,0.05579,0.018512
12/31/18,JNJ,-0.121511,-0.08989
1/31/19,JNJ,0.031228,0.088294
2/28/19,JNJ,0.033514,0.032724
3/29/19,JNJ,0.023053,0.012962
4/30/19,JNJ,0.010087,0.037893
5/31/19,JNJ,-0.064448,-0.061679
6/28/19,JNJ,0.06199,0.067279
7/31/19,JNJ,-0.065049,0.011854
8/30/19,JNJ,-0.006988,-0.020339
9/30/19,JNJ,0.007946,0.016033
10/31/19,JNJ,0.02056,0.019257
