PERMNO,date,COMNAM,RET,vwretd
77178,08/31/2011,QUALCOMM INC,-0.056681,-0.057498
77178,09/30/2011,QUALCOMM INC,-0.054994,-0.084862
77178,10/31/2011,QUALCOMM INC,0.061073,0.114030
77178,11/30/2011,QUALCOMM INC,0.066182,-0.006207
77178,12/30/2011,QUALCOMM INC,-0.001825,0.003696
77178,01/31/2012,QUALCOMM INC,0.075320,0.054095
77178,02/29/2012,QUALCOMM INC,0.060779,0.041239
77178,03/30/2012,QUALCOMM INC,0.094564,0.024004
77178,04/30/2012,QUALCOMM INC,-0.062151,-0.006806
77178,05/31/2012,QUALCOMM INC,-0.098230,-0.065574
77178,06/29/2012,QUALCOMM INC,-0.028442,0.038189
77178,07/31/2012,QUALCOMM INC,0.071839,0.010284
77178,08/31/2012,QUALCOMM INC,0.029826,0.026278
77178,09/28/2012,QUALCOMM INC,0.020501,0.026554
77178,10/31/2012,QUALCOMM INC,-0.061790,-0.014104
77178,11/30/2012,QUALCOMM INC,0.085480,0.006192
77178,12/31/2012,QUALCOMM INC,-0.023741,0.012529
77178,01/31/2013,QUALCOMM INC,0.067255,0.054145
77178,02/28/2013,QUALCOMM INC,-0.005756,0.008340
77178,03/28/2013,QUALCOMM INC,0.023614,0.035294
77178,04/30/2013,QUALCOMM INC,-0.079773,0.014947
77178,05/31/2013,QUALCOMM INC,0.030519,0.019074
77178,06/28/2013,QUALCOMM INC,-0.032136,-0.015036
77178,07/31/2013,QUALCOMM INC,0.056834,0.052717
77178,08/30/2013,QUALCOMM INC,0.032031,-0.025727
77178,09/30/2013,QUALCOMM INC,0.015691,0.037470
77178,10/31/2013,QUALCOMM INC,0.032234,0.039895
77178,11/29/2013,QUALCOMM INC,0.063894,0.024966
77178,12/31/2013,QUALCOMM INC,0.009106,0.026140
77178,01/31/2014,QUALCOMM INC,-0.000404,-0.029987
77178,02/28/2014,QUALCOMM INC,0.014417,0.046186
77178,03/31/2014,QUALCOMM INC,0.052065,0.004501
77178,04/30/2014,QUALCOMM INC,-0.001902,0.001670
77178,05/30/2014,QUALCOMM INC,0.022106,0.020223
77178,06/30/2014,QUALCOMM INC,-0.010317,0.027961
77178,07/31/2014,QUALCOMM INC,-0.069192,-0.020536
77178,08/29/2014,QUALCOMM INC,0.037982,0.040206
77178,09/30/2014,QUALCOMM INC,-0.017477,-0.025132
77178,10/31/2014,QUALCOMM INC,0.050020,0.021198
77178,11/28/2014,QUALCOMM INC,-0.066106,0.021159
77178,12/31/2014,QUALCOMM INC,0.019616,-0.003623
77178,01/30/2015,QUALCOMM INC,-0.159693,-0.027200
77178,02/27/2015,QUALCOMM INC,0.160903,0.056017
77178,03/31/2015,QUALCOMM INC,-0.037926,-0.010454
77178,04/30/2015,QUALCOMM INC,-0.019325,0.008716
77178,05/29/2015,QUALCOMM INC,0.024706,0.010344
77178,06/30/2015,QUALCOMM INC,-0.094288,-0.019262
77178,07/31/2015,QUALCOMM INC,0.028102,0.012113
77178,08/31/2015,QUALCOMM INC,-0.113838,-0.060046
77178,09/30/2015,QUALCOMM INC,-0.050371,-0.033769
77178,10/30/2015,QUALCOMM INC,0.105900,0.074021
77178,11/30/2015,QUALCOMM INC,-0.170818,0.002448
77178,12/31/2015,QUALCOMM INC,0.024493,-0.022287
77178,01/29/2016,QUALCOMM INC,-0.092928,-0.057094
77178,02/29/2016,QUALCOMM INC,0.130790,0.000685
77178,03/31/2016,QUALCOMM INC,0.006891,0.070518
77178,04/29/2016,QUALCOMM INC,-0.012124,0.011814
77178,05/31/2016,QUALCOMM INC,0.097585,0.014316
77178,06/30/2016,QUALCOMM INC,-0.024581,0.003111
77178,07/29/2016,QUALCOMM INC,0.168191,0.038775
77178,08/31/2016,QUALCOMM INC,0.016299,0.002789
77178,09/30/2016,QUALCOMM INC,0.086095,0.003017
77178,10/31/2016,QUALCOMM INC,0.003212,-0.021594
77178,11/30/2016,QUALCOMM INC,-0.000873,0.040491
77178,12/30/2016,QUALCOMM INC,-0.043006,0.018792
77178,01/31/2017,QUALCOMM INC,-0.180521,0.022190
77178,02/28/2017,QUALCOMM INC,0.067004,0.032665
77178,03/31/2017,QUALCOMM INC,0.015227,0.002092
77178,04/28/2017,QUALCOMM INC,-0.062783,0.009615
77178,05/31/2017,QUALCOMM INC,0.076293,0.009335
77178,06/30/2017,QUALCOMM INC,-0.035795,0.009469
77178,07/31/2017,QUALCOMM INC,-0.036762,0.020330
77178,08/31/2017,QUALCOMM INC,-0.006580,0.001589
77178,09/29/2017,QUALCOMM INC,-0.008227,0.023734
77178,10/31/2017,QUALCOMM INC,-0.016011,0.019281
77178,11/30/2017,QUALCOMM INC,0.311704,0.027309
77178,12/29/2017,QUALCOMM INC,-0.034971,0.012173
77178,01/31/2018,QUALCOMM INC,0.066073,0.050656
77178,02/28/2018,QUALCOMM INC,-0.039267,-0.039465
77178,03/29/2018,QUALCOMM INC,-0.147538,-0.018433
77178,04/30/2018,QUALCOMM INC,-0.079408,0.004769
77178,05/31/2018,QUALCOMM INC,0.151539,0.026170
77178,06/29/2018,QUALCOMM INC,-0.034412,0.005334
77178,07/31/2018,QUALCOMM INC,0.142017,0.031605
77178,08/31/2018,QUALCOMM INC,0.072086,0.030221
77178,09/28/2018,QUALCOMM INC,0.057342,0.000443
77178,10/31/2018,QUALCOMM INC,-0.126892,-0.074031
77178,11/30/2018,QUALCOMM INC,-0.073621,0.018530
77178,12/31/2018,QUALCOMM INC,-0.012530,-0.089810
77453,01/31/2007,JACK IN THE BOX INC,0.012287,0.019397
77453,02/28/2007,JACK IN THE BOX INC,0.104548,-0.013988
77453,03/30/2007,JACK IN THE BOX INC,0.012894,0.012950
77453,04/30/2007,JACK IN THE BOX INC,-0.036308,0.039815
77453,05/31/2007,JACK IN THE BOX INC,0.147853,0.038932
77453,06/29/2007,JACK IN THE BOX INC,-0.072316,-0.014765
77453,07/31/2007,JACK IN THE BOX INC,-0.097970,-0.031760
77453,08/31/2007,JACK IN THE BOX INC,-0.027661,0.011630
77453,09/28/2007,JACK IN THE BOX INC,0.042109,0.040842
77453,10/31/2007,JACK IN THE BOX INC,-0.032387,0.025796
77453,11/30/2007,JACK IN THE BOX INC,-0.045266,-0.049327
77453,12/31/2007,JACK IN THE BOX INC,-0.139566,-0.004423
77453,01/31/2008,JACK IN THE BOX INC,0.128832,-0.062138
77453,02/29/2008,JACK IN THE BOX INC,-0.096941,-0.021663
77453,03/31/2008,JACK IN THE BOX INC,0.022840,-0.010421
77453,04/30/2008,JACK IN THE BOX INC,-0.004466,0.051060
77453,05/30/2008,JACK IN THE BOX INC,-0.081495,0.023808
77453,06/30/2008,JACK IN THE BOX INC,-0.087912,-0.078426
77453,07/31/2008,JACK IN THE BOX INC,-0.037037,-0.013341
77453,08/29/2008,JACK IN THE BOX INC,0.099629,0.010566
77453,09/30/2008,JACK IN THE BOX INC,-0.110830,-0.097980
77453,10/31/2008,JACK IN THE BOX INC,-0.047393,-0.184648
77453,11/28/2008,JACK IN THE BOX INC,-0.129353,-0.084615
77453,12/31/2008,JACK IN THE BOX INC,0.262286,0.022154
77453,01/30/2009,JACK IN THE BOX INC,0.022635,-0.077315
77453,02/27/2009,JACK IN THE BOX INC,-0.139442,-0.100271
77453,03/31/2009,JACK IN THE BOX INC,0.198045,0.086748
77453,04/30/2009,JACK IN THE BOX INC,0.055818,0.109352
77453,05/29/2009,JACK IN THE BOX INC,0.069540,0.067774
77453,06/30/2009,JACK IN THE BOX INC,-0.146388,-0.003099
77453,07/31/2009,JACK IN THE BOX INC,-0.060134,0.081752
77453,08/31/2009,JACK IN THE BOX INC,-0.033649,0.031469
77453,09/30/2009,JACK IN THE BOX INC,0.004904,0.045216
77453,10/30/2009,JACK IN THE BOX INC,-0.084431,-0.027971
77453,11/30/2009,JACK IN THE BOX INC,-0.004797,0.057117
77453,12/31/2009,JACK IN THE BOX INC,0.053562,0.028430
77453,01/29/2010,JACK IN THE BOX INC,-0.008134,-0.037098
77453,02/26/2010,JACK IN THE BOX INC,0.082522,0.034786
77453,03/31/2010,JACK IN THE BOX INC,0.115057,0.063626
77453,04/30/2010,JACK IN THE BOX INC,-0.002972,0.020063
77453,05/28/2010,JACK IN THE BOX INC,-0.044293,-0.079163
77453,06/30/2010,JACK IN THE BOX INC,-0.133244,-0.050745
77453,07/30/2010,JACK IN THE BOX INC,0.060668,0.070309
77453,08/31/2010,JACK IN THE BOX INC,-0.021813,-0.042844
77453,09/30/2010,JACK IN THE BOX INC,0.062438,0.091547
77453,10/29/2010,JACK IN THE BOX INC,0.080224,0.038512
77453,11/30/2010,JACK IN THE BOX INC,-0.131477,0.005125
77453,12/31/2010,JACK IN THE BOX INC,0.050460,0.067205
77453,01/31/2011,JACK IN THE BOX INC,0.038334,0.019137
77453,02/28/2011,JACK IN THE BOX INC,0.002735,0.038175
77453,03/31/2011,JACK IN THE BOX INC,0.030909,0.003353
77453,04/29/2011,JACK IN THE BOX INC,-0.089506,0.028667
77453,05/31/2011,JACK IN THE BOX INC,0.075545,-0.014900
77453,06/30/2011,JACK IN THE BOX INC,0.025664,-0.018388
